,UnderlyingPrice,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
0,174.09,GS160108C00125000,call,01/08/2016,01/05/2016,125.0,0.0,46.95,50.8,0,0,0,0.0874,0.0,3.1911,1.0,0.0,0.0,0.0,GS160108C00125000
1,174.09,GS160108P00125000,put,01/08/2016,01/05/2016,125.0,0.0,0.0,0.31,0,0,0,1.9822,0.0,2.2141,-0.015,0.0014,-0.2242,0.0053,GS160108P00125000
2,174.09,GS160108C00130000,call,01/08/2016,01/05/2016,130.0,0.0,41.8,45.8,0,0,0,0.0874,0.0,2.8946,1.0,0.0,0.0,0.0,GS160108C00130000
3,174.09,GS160108P00130000,put,01/08/2016,01/05/2016,130.0,0.0,0.0,0.31,0,0,0,1.7931,0.0,1.9882,-0.0175,0.0017,-0.231,0.006,GS160108P00130000
4,174.09,GS160108C00135000,call,01/08/2016,01/05/2016,135.0,0.0,36.95,40.9,0,0,0,0.0874,0.0,2.648,1.0,0.0,0.0,0.0,GS160108C00135000
5,174.09,GS160108P00135000,put,01/08/2016,01/05/2016,135.0,0.0,0.0,0.33,0,0,0,1.5624,0.0,1.7887,-0.0179,0.002,-0.2058,0.0061,GS160108P00135000
6,174.09,GS160108C00140000,call,01/08/2016,01/05/2016,140.0,0.0,31.75,35.8,0,0,0,0.0874,0.0,2.3219,1.0,0.0,0.0,0.0,GS160108C00140000
7,174.09,GS160108P00140000,put,01/08/2016,01/05/2016,140.0,0.0,0.0,0.22,0,0,0,1.3428,0.0,1.4609999999999999,-0.0186,0.0024,-0.1823,0.0063,GS160108P00140000
8,174.09,GS160108C00145000,call,01/08/2016,01/05/2016,145.0,0.0,26.75,30.95,0,0,0,0.0874,0.0,2.0976,1.0,0.0,0.0,0.0,GS160108C00145000
9,174.09,GS160108P00145000,put,01/08/2016,01/05/2016,145.0,0.0,0.0,0.23,0,0,0,1.1126,0.0,1.2704,-0.0179,0.0028,-0.146,0.0061,GS160108P00145000
10,174.09,GS160108C00150000,call,01/08/2016,01/05/2016,150.0,0.0,21.9,25.55,0,0,0,0.0874,0.0,1.6795,1.0,0.0,0.0,0.0,GS160108C00150000
11,174.09,GS160108P00150000,put,01/08/2016,01/05/2016,150.0,0.06,0.0,0.13,0,177,177,0.8797,0.0,0.9684,-0.0157,0.0032,-0.1032,0.0055,GS160108P00150000
12,174.09,GS160108C00152500,call,01/08/2016,01/05/2016,152.5,0.0,19.35,23.3,0,0,0,0.0874,0.0,1.6288,1.0,0.0,0.0,0.0,GS160108C00152500
13,174.09,GS160108P00152500,put,01/08/2016,01/05/2016,152.5,0.07,0.0,0.13,0,224,224,0.7818,0.0,0.8769,-0.0158,0.0036,-0.0923,0.0055,GS160108P00152500
14,174.09,GS160108C00155000,call,01/08/2016,01/05/2016,155.0,0.0,17.15,20.2,0,0,0,0.0874,0.0,1.2926,1.0,0.0,0.0,0.0,GS160108C00155000
15,174.09,GS160108P00155000,put,01/08/2016,01/05/2016,155.0,0.07,0.0,0.07,0,254,254,0.6727,0.0,0.7101,-0.0144,0.0039,-0.0733,0.0051,GS160108P00155000
16,174.09,GS160108C00157500,call,01/08/2016,01/05/2016,157.5,0.0,14.8,17.7,0,0,0,0.0874,0.0,1.1654,1.0,0.0,0.0,0.0,GS160108C00157500
17,174.09,GS160108P00157500,put,01/08/2016,01/05/2016,157.5,0.06,0.0,0.13,3,70,73,0.5885,0.0,0.6945,-0.0157,0.0048,-0.0691,0.0055,GS160108P00157500
18,174.09,GS160108C00160000,call,01/08/2016,01/05/2016,160.0,15.05,12.7,15.3,5,52,52,0.0874,0.0,1.067,1.0,0.0,0.0,0.0,GS160108C00160000
19,174.09,GS160108P00160000,put,01/08/2016,01/05/2016,160.0,0.04,0.0,0.08,112,115,193,0.512,0.0,0.5534,-0.0187,0.0064,-0.0697,0.0064,GS160108P00160000
20,174.09,GS160108C00162500,call,01/08/2016,01/05/2016,162.5,0.0,9.75,12.8,0,0,0,0.0874,0.0,0.9343,1.0,0.0,0.0,0.0,GS160108C00162500
21,174.09,GS160108P00162500,put,01/08/2016,01/05/2016,162.5,0.09,0.0,0.14,186,64,163,0.4646,0.0,0.5186,-0.0305,0.0107,-0.0956,0.0096,GS160108P00162500
22,174.09,GS160108C00165000,call,01/08/2016,01/05/2016,165.0,9.38,8.05,9.7,12,0,12,0.0874,0.0,0.6242,1.0,0.0,0.0,0.0,GS160108C00165000
23,174.09,GS160108P00165000,put,01/08/2016,01/05/2016,165.0,0.2,0.13,0.17,165,220,265,0.4304,0.4179,0.4429,-0.0576,0.0192,-0.14800000000000002,0.016,GS160108P00165000
24,174.09,GS160108C00167500,call,01/08/2016,01/05/2016,167.5,0.0,5.8,7.2,0,0,0,0.0874,0.0,0.5008,1.0,0.0,0.0,0.0,GS160108C00167500
25,174.09,GS160108P00167500,put,01/08/2016,01/05/2016,167.5,0.39,0.26,0.33,169,301,444,0.3969,0.3834,0.4104,-0.109,0.0338,-0.2211,0.026000000000000002,GS160108P00167500
26,174.09,GS160108C00170000,call,01/08/2016,01/05/2016,170.0,4.74,4.1,4.9,24,72,86,0.2787,0.1375,0.4199,0.8595,0.0575,-0.1854,0.0311,GS160108C00170000
27,174.09,GS160108P00170000,put,01/08/2016,01/05/2016,170.0,0.85,0.57,0.68,440,372,572,0.3742,0.3605,0.3879,-0.2091,0.0552,-0.3209,0.04,GS160108P00170000
28,174.09,GS160108C00172500,call,01/08/2016,01/05/2016,172.5,3.0,2.81,3.05,48,49,72,0.3685,0.3457,0.3913,0.6278,0.0738,-0.4157,0.0527,GS160108C00172500
29,174.09,GS160108P00172500,put,01/08/2016,01/05/2016,172.5,1.38,1.3,1.39,146,254,311,0.3695,0.3609,0.37799999999999995,-0.3725,0.0736,-0.41700000000000004,0.0527,GS160108P00172500
30,174.09,GS160108C00175000,call,01/08/2016,01/05/2016,175.0,1.57,1.5,1.63,774,253,631,0.3569,0.345,0.3688,0.4331,0.0792,-0.4187,0.0547,GS160108C00175000
31,174.09,GS160108P00175000,put,01/08/2016,01/05/2016,175.0,2.61,2.33,2.6,55,1953,1954,0.355,0.3304,0.3797,-0.5673,0.0796,-0.4164,0.0547,GS160108P00175000
32,174.09,GS160108C00177500,call,01/08/2016,01/05/2016,177.5,0.68,0.68,0.78,709,297,538,0.355,0.3439,0.3662,0.2517,0.0645,-0.3377,0.0444,GS160108C00177500
33,174.09,GS160108P00177500,put,01/08/2016,01/05/2016,177.5,4.2,3.95,5.1,11,1728,1727,0.4316,0.31,0.5531,-0.7071,0.0572,-0.4427,0.0479,GS160108P00177500
34,174.09,GS160108C00180000,call,01/08/2016,01/05/2016,180.0,0.28,0.27,0.29,556,407,659,0.3496,0.34600000000000003,0.3532,0.1189,0.0408,-0.2072,0.0277,GS160108C00180000
35,174.09,GS160108P00180000,put,01/08/2016,01/05/2016,180.0,6.37,5.95,7.3,22,331,320,0.4315,0.2255,0.6375,-0.8290000000000001,0.0423,-0.3269,0.0353,GS160108P00180000
36,174.09,GS160108C00182500,call,01/08/2016,01/05/2016,182.5,0.12,0.02,0.16,120,324,360,0.3311,0.2711,0.3911,0.0385,0.0181,-0.0824,0.0116,GS160108C00182500
37,174.09,GS160108P00182500,put,01/08/2016,01/05/2016,182.5,9.0,8.2,9.75,81,156,156,0.5183,0.0,0.7559999999999999,-0.8682,0.0296,-0.3302,0.0297,GS160108P00182500
38,174.09,GS160108C00185000,call,01/08/2016,01/05/2016,185.0,0.08,0.05,0.13,30,534,527,0.4206,0.3848,0.4564,0.0367,0.0137,-0.1007,0.0112,GS160108C00185000
39,174.09,GS160108P00185000,put,01/08/2016,01/05/2016,185.0,5.34,9.85,12.6,0,126,126,0.5702,0.0,0.9627,-0.905,0.0213,-0.2875,0.0235,GS160108P00185000
40,174.09,GS160108C00187500,call,01/08/2016,01/05/2016,187.5,0.05,0.05,0.1,34,378,387,0.4825,0.4548,0.5101,0.0284,0.0097,-0.0937,0.0091,GS160108C00187500
41,174.09,GS160108P00187500,put,01/08/2016,01/05/2016,187.5,6.5,12.4,15.0,0,42,42,0.6532,0.0,1.0557,-0.9185,0.0166,-0.2939,0.021,GS160108P00187500
42,174.09,GS160108C00190000,call,01/08/2016,01/05/2016,190.0,0.05,0.0,0.13,5,1947,1942,0.5496,0.0,0.611,0.0245,0.0075,-0.0943,0.008,GS160108C00190000
43,174.09,GS160108P00190000,put,01/08/2016,01/05/2016,190.0,6.6,14.9,17.65,0,39,39,0.7245,0.0,1.2066,-0.9307,0.0132,-0.28800000000000003,0.0186,GS160108P00190000
44,174.09,GS160108C00192500,call,01/08/2016,01/05/2016,192.5,0.04,0.0,0.13,0,1746,1746,0.6175,0.0,0.6843,0.0221,0.0061,-0.0972,0.0073,GS160108C00192500
45,174.09,GS160108P00192500,put,01/08/2016,01/05/2016,192.5,9.4,17.25,20.2,0,2,2,0.8282,0.0,1.3283,-0.9312,0.0115,-0.3272,0.0184,GS160108P00192500
46,174.09,GS160108C00195000,call,01/08/2016,01/05/2016,195.0,0.02,0.0,0.17,0,308,308,0.7154,0.0,0.7924,0.0253,0.0059,-0.1261,0.0082,GS160108C00195000
47,174.09,GS160108P00195000,put,01/08/2016,01/05/2016,195.0,7.74,19.9,22.65,0,40,36,0.8756,0.0,1.4188,-0.9435,0.0093,-0.2966,0.0158,GS160108P00195000
48,174.09,GS160108C00197500,call,01/08/2016,01/05/2016,197.5,0.1,0.0,0.32,0,63,63,0.7945,0.0,0.9741,0.0253,0.0053,-0.14,0.0082,GS160108C00197500
49,174.09,GS160108P00197500,put,01/08/2016,01/05/2016,197.5,11.3,22.05,25.05,0,11,11,0.9267,0.0,1.4898,-0.9521,0.0077,-0.2754,0.0139,GS160108P00197500
50,174.09,GS160108C00200000,call,01/08/2016,01/05/2016,200.0,0.07,0.0,0.14,0,67,67,0.8834,0.0,0.9025,0.0269,0.005,-0.1635,0.0086,GS160108C00200000
51,174.09,GS160108P00200000,put,01/08/2016,01/05/2016,200.0,24.77,24.8,27.65,0,28,25,1.0129,0.0,1.6162,-0.9528,0.006999999999999999,-0.2975,0.0137,GS160108P00200000
52,174.09,GS160108C00202500,call,01/08/2016,01/05/2016,202.5,0.21,0.0,0.33,0,26,26,0.9664,0.0,1.1295,0.0276,0.0047,-0.1828,0.0088,GS160108C00202500
53,174.09,GS160108P00202500,put,01/08/2016,01/05/2016,202.5,0.0,26.8,30.75,0,0,0,1.1213,0.0,1.885,-0.9496,0.0066,-0.3469,0.0144,GS160108P00202500
54,174.09,GS160108C00205000,call,01/08/2016,01/05/2016,205.0,0.09,0.0,0.33,0,15,15,1.0404,0.0,1.2011,0.0272,0.0043,-0.1948,0.0087,GS160108C00205000
55,174.09,GS160108P00205000,put,01/08/2016,01/05/2016,205.0,29.79,29.8,32.85,0,3,3,1.26,0.0,1.8636,-0.9420000000000001,0.0066,-0.4358,0.0161,GS160108P00205000
56,174.09,GS160108C00207500,call,01/08/2016,01/05/2016,207.5,0.0,0.0,0.32,0,0,0,1.1402,0.0,1.2637,0.03,0.0043,-0.2317,0.0095,GS160108C00207500
57,174.09,GS160108P00207500,put,01/08/2016,01/05/2016,207.5,0.0,31.8,35.8,0,0,0,1.3181,0.0,2.0884,-0.9466,0.0059,-0.42700000000000005,0.0151,GS160108P00207500
58,174.09,GS160108C00210000,call,01/08/2016,01/05/2016,210.0,0.15,0.0,0.33,0,31,31,1.1848,0.0,1.3395,0.0267,0.0037,-0.218,0.0086,GS160108C00210000
